metric,size,dims,result
ks_test,10,5,0.36000000000000004
pca_$\Delta\lambda$,10,5,0.2017847283855541
pca_$\Delta\theta$,10,5,0.3487166915028517
corr,10,5,0.0867048687570853
pMSE,10,5,0.13272066720490788
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.20759104354259003
pca_$\Delta\theta$,10,5,0.066213400707591
corr,10,5,0.20839278658759136
pMSE,10,5,0.28113823962865314
ks_test,10,5,0.41999999999999993
pca_$\Delta\lambda$,10,5,0.16125191298191494
pca_$\Delta\theta$,10,5,0.8812375283236693
corr,10,5,0.13472561088193952
pMSE,10,5,0.13437975741949693
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.08314073370997323
pca_$\Delta\theta$,10,5,0.25263431982212314
corr,10,5,0.1149414974553911
pMSE,10,5,0.24771744472510307
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.03328135722672189
pca_$\Delta\theta$,10,5,0.48935623002405604
corr,10,5,0.19940722160507834
pMSE,10,5,0.18664002179546785
ks_test,10,5,0.43999999999999995
pca_$\Delta\lambda$,10,5,0.22693690836806374
pca_$\Delta\theta$,10,5,0.6441365047024719
corr,10,5,0.14405333303318602
pMSE,10,5,0.16315081153171002
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.08164160959577405
pca_$\Delta\theta$,10,5,0.45108789884312606
corr,10,5,0.06400141293468815
pMSE,10,5,0.16160657479802745
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.05788782418553521
pca_$\Delta\theta$,10,5,0.05893756558436293
corr,10,5,0.1828706171825791
pMSE,10,5,0.3069145344877794
ks_test,10,5,0.5
pca_$\Delta\lambda$,10,5,0.17687052539559084
pca_$\Delta\theta$,10,5,0.6263053646509616
corr,10,5,0.1820847889520425
pMSE,10,5,0.09370103378220232
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.043144292931932685
pca_$\Delta\theta$,10,5,0.8846728486357367
corr,10,5,0.09833244185722702
pMSE,10,5,0.15777305281732576
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.051257506906914656
pca_$\Delta\theta$,10,5,0.2058740463400031
corr,10,5,0.12254426575576405
pMSE,10,5,0.3990816501335847
ks_test,10,5,0.56
pca_$\Delta\lambda$,10,5,0.1058270514561133
pca_$\Delta\theta$,10,5,0.4864294479867449
corr,10,5,0.16009925390371657
pMSE,10,5,0.20694404963249657
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.2440816872889932
pca_$\Delta\theta$,10,5,0.5142750277839752
corr,10,5,0.19902320664919776
pMSE,10,5,0.13976741563660788
