metric,size,dims,result
pca_$\Delta\theta$,10000,5,0.007189892558581822
corr,10000,5,0.003632858942861426
pMSE,10000,5,0.00018326351047984012
ks_test,10000,5,0.00998
pca_$\Delta\lambda$,10000,5,0.006677038190434682
pca_$\Delta\theta$,10000,5,0.0022255588793001183
corr,10000,5,0.004060524946264122
pMSE,10000,5,0.0002824967435229888
ks_test,10000,5,0.0091
pca_$\Delta\lambda$,10000,5,0.006109121638547122
pca_$\Delta\theta$,10000,5,0.00971358983930256
corr,10000,5,0.004683764652000649
pMSE,10000,5,0.0003991692030437968
ks_test,10000,5,0.013439999999999999
pca_$\Delta\lambda$,10000,5,0.008559239820772047
pca_$\Delta\theta$,10000,5,0.014960742973570173
corr,10000,5,0.0035323820416446007
pMSE,10000,5,0.0004532005857203771
ks_test,10000,5,0.012879999999999999
pca_$\Delta\lambda$,10000,5,0.005035825091857002
pca_$\Delta\theta$,10000,5,0.009496646077481711
corr,10000,5,0.0057327025573710305
pMSE,10000,5,0.00013019774575692312
ks_test,10000,5,0.01236
pca_$\Delta\lambda$,10000,5,0.004102487507518054
pca_$\Delta\theta$,10000,5,0.01541937108546751
corr,10000,5,0.003943866832122613
pMSE,10000,5,0.0005071842907348205
ks_test,10000,5,0.01268
pca_$\Delta\lambda$,10000,5,0.0043993855014200275
pca_$\Delta\theta$,10000,5,0.009016068184922647
corr,10000,5,0.004218926022924197
pMSE,10000,5,0.00024121305823337127
ks_test,10000,5,0.013820000000000002
pca_$\Delta\lambda$,10000,5,0.0033541959905762884
pca_$\Delta\theta$,10000,5,0.018913023241164024
corr,10000,5,0.006051625585364593
pMSE,10000,5,0.00011585975133518592
ks_test,10000,5,0.00912
pca_$\Delta\lambda$,10000,5,0.009624354054873639
pca_$\Delta\theta$,10000,5,0.008315838976286575
corr,10000,5,0.008113208785928904
pMSE,10000,5,0.00021985756289844504
ks_test,10000,5,0.01176
pca_$\Delta\lambda$,10000,5,0.006839909610374843
pca_$\Delta\theta$,10000,5,0.02204888308781959
corr,10000,5,0.00343246051413309
pMSE,10000,5,0.0002087059972754346
ks_test,10000,5,0.012640000000000002
pca_$\Delta\lambda$,10000,5,0.004397743178170736
pca_$\Delta\theta$,10000,5,0.0035125356505302406
corr,10000,5,0.004782192143557384
pMSE,10000,5,0.0003733223980360758
ks_test,10000,5,0.01304
pca_$\Delta\lambda$,10000,5,0.005796709726404201
pca_$\Delta\theta$,10000,5,0.010383955158179041
corr,10000,5,0.004114553939102634
pMSE,10000,5,0.00044409966529933504
ks_test,10000,5,0.014240000000000003
pca_$\Delta\lambda$,10000,5,0.004404379954349905
pca_$\Delta\theta$,10000,5,0.010365759212690118
corr,10000,5,0.004720520409521533
pMSE,10000,5,0.0004496285051540087
ks_test,10000,5,0.012280000000000001
pca_$\Delta\lambda$,10000,5,0.0033461591345156118
pca_$\Delta\theta$,10000,5,0.016335531359169805
corr,10000,5,0.0031345115148474953
pMSE,10000,5,0.00015895065088696722
ks_test,10000,5,0.01242
pca_$\Delta\lambda$,10000,5,0.004086760909268294
pca_$\Delta\theta$,10000,5,0.012388638106896376
corr,10000,5,0.003424326556911019
pMSE,10000,5,0.00024721134772525246
ks_test,10000,5,0.010519999999999998
pca_$\Delta\lambda$,10000,5,0.00286015093528446
pca_$\Delta\theta$,10000,5,0.009327238964321874
corr,10000,5,0.003700479934820539
pMSE,10000,5,0.0001587532308836016
ks_test,10000,5,0.00944
pca_$\Delta\lambda$,10000,5,0.007341251595699441
pca_$\Delta\theta$,10000,5,0.014759826867277863
corr,10000,5,0.011611099497992803
pMSE,10000,5,0.0006153319528547193
ks_test,10000,5,0.01154
pca_$\Delta\lambda$,10000,5,0.01335620566941435
pca_$\Delta\theta$,10000,5,0.027216615560436478
corr,10000,5,0.004670870850095317
pMSE,10000,5,0.00035833712631837473
ks_test,10000,5,0.0137
pca_$\Delta\lambda$,10000,5,0.009565236247172614
pca_$\Delta\theta$,10000,5,0.009568652070196594
corr,10000,5,0.002445782239198968
pMSE,10000,5,0.0006059887828317842
ks_test,10000,5,0.01096
pca_$\Delta\lambda$,10000,5,0.0021065459225767386
pca_$\Delta\theta$,10000,5,0.011151820651845543
corr,10000,5,0.0036280188273307688
pMSE,10000,5,0.0004939590547733131
ks_test,10000,5,0.013519999999999999
pca_$\Delta\lambda$,10000,5,0.007355435499543867
pca_$\Delta\theta$,10000,5,0.019953652950873244
corr,10000,5,0.007481788486317724
pMSE,10000,5,0.00028687753439434404
ks_test,10000,5,0.01316
pca_$\Delta\lambda$,10000,5,0.006562306305955348
pca_$\Delta\theta$,10000,5,0.021279381134706562
corr,10000,5,0.003354957109905031
pMSE,10000,5,0.00023754402516000056
ks_test,10000,5,0.01012
pca_$\Delta\lambda$,10000,5,0.006817720577160666
pca_$\Delta\theta$,10000,5,0.015611085299224017
corr,10000,5,0.006024655768897954
pMSE,10000,5,0.00025374086697516003
ks_test,10000,5,0.009600000000000001
pca_$\Delta\lambda$,10000,5,0.007928476542210725
pca_$\Delta\theta$,10000,5,0.013332230576360415
corr,10000,5,0.0052722779661203405
pMSE,10000,5,0.0003422427952602467
ks_test,10000,5,0.012939999999999998
pca_$\Delta\lambda$,10000,5,0.006968902594745058
pca_$\Delta\theta$,10000,5,0.013207680340499564
corr,10000,5,0.002870487341849944
pMSE,10000,5,0.0002388022347619863
ks_test,10000,5,0.01216
pca_$\Delta\lambda$,10000,5,0.004052601272214193
pca_$\Delta\theta$,10000,5,0.003685961664163691
corr,10000,5,0.0037791092148066092
pMSE,10000,5,0.0001730109294883104
ks_test,10000,5,0.01082
pca_$\Delta\lambda$,10000,5,0.008967337344985622
pca_$\Delta\theta$,10000,5,0.020442274069121694
corr,10000,5,0.0032368915836780273
pMSE,10000,5,0.00016732428616059595
ks_test,10000,5,0.011219999999999999
pca_$\Delta\lambda$,10000,5,0.0016107490687586237
pca_$\Delta\theta$,10000,5,0.007802381244769665
corr,10000,5,0.006046087354947627
pMSE,10000,5,0.00023714777719991163
ks_test,10000,5,0.01106
pca_$\Delta\lambda$,10000,5,0.008424584846716094
pca_$\Delta\theta$,10000,5,0.008262611379527543
corr,10000,5,0.004365491883716089
pMSE,10000,5,0.000140001691071988
ks_test,10000,5,0.01168
pca_$\Delta\lambda$,10000,5,0.006618178300212333
pca_$\Delta\theta$,10000,5,0.007767382745792017
corr,10000,5,0.005097663087852366
pMSE,10000,5,0.0001683682418610873
ks_test,10000,5,0.012620000000000001
pca_$\Delta\lambda$,10000,5,0.005187537514421258
pca_$\Delta\theta$,10000,5,0.005103424809577283
corr,10000,5,0.007270994105236956
pMSE,10000,5,0.00018560203212674906
ks_test,10000,5,0.0094
pca_$\Delta\lambda$,10000,5,0.004426231185280681
pca_$\Delta\theta$,10000,5,0.022483852131767134
corr,10000,5,0.0037788327319116222
pMSE,10000,5,0.0002612488954357013
ks_test,10000,5,0.0153
pca_$\Delta\lambda$,10000,5,0.00713422318108763
pca_$\Delta\theta$,10000,5,0.004158692776528981
corr,10000,5,0.0028759825430162735
pMSE,10000,5,0.00019214730890560876
ks_test,10000,5,0.0093
pca_$\Delta\lambda$,10000,5,0.004473707403705236
pca_$\Delta\theta$,10000,5,0.010369443058869669
corr,10000,5,0.0048681274281462145
pMSE,10000,5,0.0002103221677071465
ks_test,10000,5,0.0108
pca_$\Delta\lambda$,10000,5,0.005620453747141527
pca_$\Delta\theta$,10000,5,0.016729774664614654
corr,10000,5,0.004775941893178072
pMSE,10000,5,0.00019585222759429077
ks_test,10000,5,0.013800000000000002
pca_$\Delta\lambda$,10000,5,0.0028276492244591455
pca_$\Delta\theta$,10000,5,0.023931881170692726
corr,10000,5,0.005050273576561685
pMSE,10000,5,0.00035670093379350833
ks_test,10000,5,0.01446
pca_$\Delta\lambda$,10000,5,0.006624601894058479
pca_$\Delta\theta$,10000,5,0.015881679993880238
corr,10000,5,0.006447952892193254
pMSE,10000,5,0.00010440294427366216
ks_test,10000,5,0.009260000000000001
pca_$\Delta\lambda$,10000,5,0.005202829980568476
pca_$\Delta\theta$,10000,5,0.02032140882364459
corr,10000,5,0.005859160749493027
pMSE,10000,5,0.00020493602478271127
ks_test,10000,5,0.01094
pca_$\Delta\lambda$,10000,5,0.0030569080343354448
pca_$\Delta\theta$,10000,5,0.02074337659951061
corr,10000,5,0.008549318453004459
pMSE,10000,5,0.00026718236214682824
ks_test,10000,5,0.0129
pca_$\Delta\lambda$,10000,5,0.015332427563241697
pca_$\Delta\theta$,10000,5,0.0038431549034267814
corr,10000,5,0.00789372396701717
pMSE,10000,5,0.00017015254403140962
ks_test,10000,5,0.0121
pca_$\Delta\lambda$,10000,5,0.005969051755602072
pca_$\Delta\theta$,10000,5,0.018442198173126808
corr,10000,5,0.004606095093977984
pMSE,10000,5,0.0004365485831829747
ks_test,10000,5,0.01158
pca_$\Delta\lambda$,10000,5,0.004905980656815174
pca_$\Delta\theta$,10000,5,0.010433147921557409
corr,10000,5,0.004525002904618378
pMSE,10000,5,0.00010925242045875497
ks_test,10000,5,0.010100000000000001
pca_$\Delta\lambda$,10000,5,0.006877317627586865
pca_$\Delta\theta$,10000,5,0.004931514252504767
corr,10000,5,0.005256587247895197
pMSE,10000,5,0.0005447618016510671
ks_test,10000,5,0.01438
pca_$\Delta\lambda$,10000,5,0.005252501103672419
pca_$\Delta\theta$,10000,5,0.021623980733921373
corr,10000,5,0.005359327833933765
pMSE,10000,5,0.00015560007197321985
ks_test,10000,5,0.00988
pca_$\Delta\lambda$,10000,5,0.005259336504086581
pca_$\Delta\theta$,10000,5,0.008079314867341073
corr,10000,5,0.0031190239404653174
pMSE,10000,5,9.115970259775608e-05
ks_test,10000,5,0.008499999999999999
pca_$\Delta\lambda$,10000,5,0.006404874458073551
pca_$\Delta\theta$,10000,5,0.007806076959844272
corr,10000,5,0.0042773150751256594
pMSE,10000,5,8.927876704998257e-05
ks_test,10000,5,0.009899999999999999
pca_$\Delta\lambda$,10000,5,0.006504406293439327
pca_$\Delta\theta$,10000,5,0.006749435959612427
corr,10000,5,0.0031755765194791076
pMSE,10000,5,0.00029550523978357955
ks_test,10000,5,0.01194
pca_$\Delta\lambda$,10000,5,0.004961098052809058
pca_$\Delta\theta$,10000,5,0.010719252753892967
corr,10000,5,0.0022945471669632506
pMSE,10000,5,0.0002611440166036749
ks_test,10000,5,0.013540000000000002
pca_$\Delta\lambda$,10000,5,0.0023331881682109017
pca_$\Delta\theta$,10000,5,0.007011064113316046
corr,10000,5,0.0052456333826569525
pMSE,10000,5,0.0005792951624862307
ks_test,10000,5,0.012140000000000001
pca_$\Delta\lambda$,10000,5,0.008441519418761851
pca_$\Delta\theta$,10000,5,0.010746405080485398
corr,10000,5,0.005890104963524096
pMSE,10000,5,9.58222387101693e-05
ks_test,10000,5,0.01284
pca_$\Delta\lambda$,10000,5,0.0059092092065011845
pca_$\Delta\theta$,10000,5,0.013650536572696046
corr,10000,5,0.00457690790816281
pMSE,10000,5,0.0002538623553573858
ks_test,10000,5,0.011859999999999999
pca_$\Delta\lambda$,10000,5,0.0039050876668067155
pca_$\Delta\theta$,10000,5,0.012226630675838476
corr,10000,5,0.004501252217471467
pMSE,10000,5,0.00031209516479350916
ks_test,10000,5,0.00912
pca_$\Delta\lambda$,10000,5,0.005756246008513368
pca_$\Delta\theta$,10000,5,0.005934171640757601
corr,10000,5,0.004437130386020735
pMSE,10000,5,0.0003283562669175341
ks_test,10000,5,0.01284
pca_$\Delta\lambda$,10000,5,0.004682118270380575
pca_$\Delta\theta$,10000,5,0.011565356498241046
corr,10000,5,0.003697387477477842
pMSE,10000,5,0.0003092922603205645
ks_test,10000,5,0.01102
pca_$\Delta\lambda$,10000,5,0.001649985571521283
pca_$\Delta\theta$,10000,5,0.007083471781053581
corr,10000,5,0.004692974129836833
pMSE,10000,5,0.0003157098188825288
ks_test,10000,5,0.00984
pca_$\Delta\lambda$,10000,5,0.007313526389967306
pca_$\Delta\theta$,10000,5,0.012851893015753844
corr,10000,5,0.002905775564413566
pMSE,10000,5,0.0007626100568211196
ks_test,10000,5,0.01426
pca_$\Delta\lambda$,10000,5,0.005868113929980106
pca_$\Delta\theta$,10000,5,0.017142138614192514
corr,10000,5,0.003332023649067376
pMSE,10000,5,0.0001631046508944654
ks_test,10000,5,0.01114
pca_$\Delta\lambda$,10000,5,0.0062662705304582025
pca_$\Delta\theta$,10000,5,0.007634638236422264
corr,10000,5,0.005093592920045249
pMSE,10000,5,0.00013246757167943718
ks_test,10000,5,0.009260000000000001
pca_$\Delta\lambda$,10000,5,0.0048786596530464126
pca_$\Delta\theta$,10000,5,0.017075721475416434
corr,10000,5,0.0025310176286806796
pMSE,10000,5,0.0002856265323235887
ks_test,10000,5,0.01164
pca_$\Delta\lambda$,10000,5,0.003827161845457984
pca_$\Delta\theta$,10000,5,0.01011895187935919
corr,10000,5,0.004548396364014389
pMSE,10000,5,0.00020239420757285688
ks_test,10000,5,0.01268
pca_$\Delta\lambda$,10000,5,0.003536121183917086
pca_$\Delta\theta$,10000,5,0.010744671005418597
corr,10000,5,0.003877304825029174
pMSE,10000,5,0.00041639501159746156
ks_test,10000,5,0.012079999999999999
pca_$\Delta\lambda$,10000,5,0.00476712582589995
pca_$\Delta\theta$,10000,5,0.013422811767336253
corr,10000,5,0.004338488514269764
pMSE,10000,5,0.0004813288329538601
ks_test,10000,5,0.016900000000000002
pca_$\Delta\lambda$,10000,5,0.008368216889291083
pca_$\Delta\theta$,10000,5,0.004596292408539737
corr,10000,5,0.007888449936379162
pMSE,10000,5,0.0003659776894098445
ks_test,10000,5,0.010440000000000001
pca_$\Delta\lambda$,10000,5,0.014200226020326017
pca_$\Delta\theta$,10000,5,0.0038610597445804472
corr,10000,5,0.0032387377557724652
pMSE,10000,5,0.0005453826869737389
ks_test,10000,5,0.01154
pca_$\Delta\lambda$,10000,5,0.004304688577671134
pca_$\Delta\theta$,10000,5,0.006306031332289416
corr,10000,5,0.004443475384786948
pMSE,10000,5,0.00030167506586660373
ks_test,10000,5,0.012280000000000001
pca_$\Delta\lambda$,10000,5,0.0030360687955371946
pca_$\Delta\theta$,10000,5,0.007099620271851991
corr,10000,5,0.004660079180356617
pMSE,10000,5,0.00026333190053299074
ks_test,10000,5,0.010599999999999998
pca_$\Delta\lambda$,10000,5,0.006910292669267553
pca_$\Delta\theta$,10000,5,0.010783771452720432
corr,10000,5,0.006449381883547068
pMSE,10000,5,0.00035662927062749314
ks_test,10000,5,0.01204
pca_$\Delta\lambda$,10000,5,0.011131979754392868
pca_$\Delta\theta$,10000,5,0.008882767603036726
corr,10000,5,0.005287860722273779
pMSE,10000,5,0.00033817915826784694
ks_test,10000,5,0.014660000000000001
pca_$\Delta\lambda$,10000,5,0.001602527321190459
pca_$\Delta\theta$,10000,5,0.023888130365814997
corr,10000,5,0.006933175986574872
pMSE,10000,5,0.00039911145902497825
ks_test,10000,5,0.013320000000000002
pca_$\Delta\lambda$,10000,5,0.01019382235560119
pca_$\Delta\theta$,10000,5,0.008739079027858048
corr,10000,5,0.004053994264019274
pMSE,10000,5,0.000834946142789596
ks_test,10000,5,0.01652
pca_$\Delta\lambda$,10000,5,0.007795801506003695
pca_$\Delta\theta$,10000,5,0.010342887512288174
corr,10000,5,0.007658491024856941
pMSE,10000,5,0.00021839064834975686
ks_test,10000,5,0.009720000000000001
pca_$\Delta\lambda$,10000,5,0.010399745801496411
pca_$\Delta\theta$,10000,5,0.005530145677923286
corr,10000,5,0.0032606914248151735
pMSE,10000,5,0.0002208645891016455
ks_test,10000,5,0.0089
pca_$\Delta\lambda$,10000,5,0.0026832244757887466
pca_$\Delta\theta$,10000,5,0.014561044079936565
corr,10000,5,0.0055670302321331935
pMSE,10000,5,0.0006281190521981809
ks_test,10000,5,0.01246
pca_$\Delta\lambda$,10000,5,0.002152190235046021
pca_$\Delta\theta$,10000,5,0.0203952823356123
corr,10000,5,0.003848078750957634
pMSE,10000,5,0.0001093667022687759
ks_test,10000,5,0.009179999999999999
pca_$\Delta\lambda$,10000,5,0.00292568897630599
pca_$\Delta\theta$,10000,5,0.004471554256049404
corr,10000,5,0.004488149177009129
pMSE,10000,5,0.00026693910738248344
ks_test,10000,5,0.013140000000000002
pca_$\Delta\lambda$,10000,5,0.008632478295705485
pca_$\Delta\theta$,10000,5,0.0071675362028995404
corr,10000,5,0.0066389202162139465
pMSE,10000,5,0.00039757185117948144
ks_test,10000,5,0.012940000000000002
pca_$\Delta\lambda$,10000,5,0.00895803339737681
pca_$\Delta\theta$,10000,5,0.002619319131778609
corr,10000,5,0.006485917146378563
pMSE,10000,5,0.00013894003009463468
ks_test,10000,5,0.00992
pca_$\Delta\lambda$,10000,5,0.007406596232243767
pca_$\Delta\theta$,10000,5,0.02325318846831086
corr,10000,5,0.004474521658874177
pMSE,10000,5,0.00018372353972841209
ks_test,10000,5,0.0118
pca_$\Delta\lambda$,10000,5,0.003891729821534573
pca_$\Delta\theta$,10000,5,0.019173732019199183
corr,10000,5,0.008282335835516862
pMSE,10000,5,0.000137440427560878
ks_test,10000,5,0.01058
pca_$\Delta\lambda$,10000,5,0.009666739119909248
pca_$\Delta\theta$,10000,5,0.019619982563384757
corr,10000,5,0.009402007333577963
pMSE,10000,5,0.0005550920798095409
ks_test,10000,5,0.01068
pca_$\Delta\lambda$,10000,5,0.015164305679195833
pca_$\Delta\theta$,10000,5,0.007958509573189321
corr,10000,5,0.005724504263440429
pMSE,10000,5,0.0002090493049457528
ks_test,10000,5,0.011980000000000001
pca_$\Delta\lambda$,10000,5,0.008247431785040985
pca_$\Delta\theta$,10000,5,0.00753058228724933
corr,10000,5,0.004366557512438042
pMSE,10000,5,0.00020897674091729574
ks_test,10000,5,0.01316
pca_$\Delta\lambda$,10000,5,0.006771664391483334
pca_$\Delta\theta$,10000,5,0.013178691342562825
corr,10000,5,0.004240429058775854
pMSE,10000,5,0.00021232600872031675
ks_test,10000,5,0.01064
pca_$\Delta\lambda$,10000,5,0.002177270506069841
pca_$\Delta\theta$,10000,5,0.008555813858360873
corr,10000,5,0.002999710974765857
pMSE,10000,5,0.0005081639676470724
ks_test,10000,5,0.016300000000000002
pca_$\Delta\lambda$,10000,5,0.006171724660651346
pca_$\Delta\theta$,10000,5,0.004988342365486794
corr,10000,5,0.004104773607126743
pMSE,10000,5,0.0008984540465457658
ks_test,10000,5,0.01278
pca_$\Delta\lambda$,10000,5,0.006228812890901249
pca_$\Delta\theta$,10000,5,0.008163123631539272
corr,10000,5,0.00473638996076878
pMSE,10000,5,0.00012657727011886706
ks_test,10000,5,0.010239999999999999
pca_$\Delta\lambda$,10000,5,0.0064970027316985455
pca_$\Delta\theta$,10000,5,0.013001906100702504
corr,10000,5,0.0061310390395016975
pMSE,10000,5,0.00010124975932562575
ks_test,10000,5,0.011219999999999999
pca_$\Delta\lambda$,10000,5,0.010765938631525696
pca_$\Delta\theta$,10000,5,0.0037811277751490266
corr,10000,5,0.005233644116880635
pMSE,10000,5,0.00019426718673416917
ks_test,10000,5,0.009999999999999998
pca_$\Delta\lambda$,10000,5,0.005530502491541521
pca_$\Delta\theta$,10000,5,0.01081611938618444
corr,10000,5,0.003907172902027593
pMSE,10000,5,9.695016118138245e-05
ks_test,10000,5,0.01046
pca_$\Delta\lambda$,10000,5,0.003996121628405468
pca_$\Delta\theta$,10000,5,0.013420218240109149
corr,10000,5,0.002417671108353802
pMSE,10000,5,0.00018430562878950566
ks_test,10000,5,0.00926
pca_$\Delta\lambda$,10000,5,0.0006474928246365218
pca_$\Delta\theta$,10000,5,0.007417682671556742
corr,10000,5,0.0048604032924147835
pMSE,10000,5,0.00017552703770131356
ks_test,10000,5,0.010239999999999999
pca_$\Delta\lambda$,10000,5,0.008685273578831384
pca_$\Delta\theta$,10000,5,0.005300601698511022
corr,10000,5,0.00429243937053945
pMSE,10000,5,0.0004017814212360512
ks_test,10000,5,0.01316
pca_$\Delta\lambda$,10000,5,0.002588858125084359
pca_$\Delta\theta$,10000,5,0.01383027625437606
corr,10000,5,0.005725559400968529
pMSE,10000,5,0.0003607886474149461
ks_test,10000,5,0.013640000000000003
pca_$\Delta\lambda$,10000,5,0.005785772211239083
pca_$\Delta\theta$,10000,5,0.012069873388218244
corr,10000,5,0.002704474732417158
pMSE,10000,5,0.000228897120495734
ks_test,10000,5,0.0097
pca_$\Delta\lambda$,10000,5,0.0014255593718611008
pca_$\Delta\theta$,10000,5,0.010277409244381745
corr,10000,5,0.004188998033548137
pMSE,10000,5,0.00044000211587280017
ks_test,10000,5,0.014600000000000002
pca_$\Delta\lambda$,10000,5,0.0064410685977685685
pca_$\Delta\theta$,10000,5,0.006581631374906493
corr,10000,5,0.004054144346138912
pMSE,10000,5,0.0001901780918916153
ks_test,10000,5,0.01078
pca_$\Delta\lambda$,10000,5,0.0015406113343944712
pca_$\Delta\theta$,10000,5,0.009062650332054493
corr,10000,5,0.0063677660317136425
pMSE,10000,5,0.00023270678041508448
ks_test,10000,5,0.0115
pca_$\Delta\lambda$,10000,5,0.00488194403711781
pca_$\Delta\theta$,10000,5,0.016128591906045587
corr,10000,5,0.003485167075842685
pMSE,10000,5,0.0005678419953891036
ks_test,10000,5,0.013680000000000001
pca_$\Delta\lambda$,10000,5,0.0029369977811474247
pca_$\Delta\theta$,10000,5,0.013927952807925963
corr,10000,5,0.0045879845245784204
pMSE,10000,5,0.00025130756260583517
ks_test,10000,5,0.009559999999999999
pca_$\Delta\lambda$,10000,5,0.006941095672031912
pca_$\Delta\theta$,10000,5,0.004517735613260957
corr,10000,5,0.007753106369364037
pMSE,10000,5,0.0007402304251698742
ks_test,10000,5,0.017759999999999998
pca_$\Delta\lambda$,10000,5,0.016145795556240822
pca_$\Delta\theta$,10000,5,0.00908946506753928
corr,10000,5,0.0071950440369256356
pMSE,10000,5,0.0002544662698415667
ks_test,10000,5,0.01186
pca_$\Delta\lambda$,10000,5,0.011210217900124206
pca_$\Delta\theta$,10000,5,0.011182596316256685
corr,10000,5,0.0034206406054951
pMSE,10000,5,0.00018273132101083352
ks_test,10000,5,0.01356
pca_$\Delta\lambda$,10000,5,0.0015325575977132126
pca_$\Delta\theta$,10000,5,0.01247009682132715
corr,10000,5,0.006110336779757896
pMSE,10000,5,0.0003834274668808947
ks_test,10000,5,0.01434
pca_$\Delta\lambda$,10000,5,0.004767672272579029
pca_$\Delta\theta$,10000,5,0.016076153921358895
corr,10000,5,0.004744296347752065
pMSE,10000,5,0.0001253255900383639
ks_test,10000,5,0.007819999999999999
pca_$\Delta\lambda$,10000,5,0.004061495647404911
pca_$\Delta\theta$,10000,5,0.005764373021116555
corr,10000,5,0.0060784928891030755
pMSE,10000,5,0.00026271123083256443
ks_test,10000,5,0.01202
pca_$\Delta\lambda$,10000,5,0.006005686281503808
pca_$\Delta\theta$,10000,5,0.006198302366886741
corr,10000,5,0.00575604520376979
pMSE,10000,5,0.0001257634503309104
ks_test,10000,5,0.0105
pca_$\Delta\lambda$,10000,5,0.010477798763014757
pca_$\Delta\theta$,10000,5,0.01111903754696247
corr,10000,5,0.005891941699719728
pMSE,10000,5,0.0002694759168261979
ks_test,10000,5,0.01358
pca_$\Delta\lambda$,10000,5,0.0036988280174214024
pca_$\Delta\theta$,10000,5,0.023422827908975954
corr,10000,5,0.005653038257823605
pMSE,10000,5,0.000274779325793463
ks_test,10000,5,0.01132
pca_$\Delta\lambda$,10000,5,0.003177842420626813
pca_$\Delta\theta$,10000,5,0.026638430544802336
corr,10000,5,0.0027068366683577166
pMSE,10000,5,0.00014903578541366558
ks_test,10000,5,0.0091
pca_$\Delta\lambda$,10000,5,0.0028098696320154014
pca_$\Delta\theta$,10000,5,0.008131377721200534
corr,10000,5,0.005468839850496248
pMSE,10000,5,0.00025124247947472326
ks_test,10000,5,0.01242
pca_$\Delta\lambda$,10000,5,0.008951896451787173
pca_$\Delta\theta$,10000,5,0.010998819604750222
corr,10000,5,0.0041941428653232225
pMSE,10000,5,0.0002274630466837916
ks_test,10000,5,0.01304
pca_$\Delta\lambda$,10000,5,0.002213663302864946
pca_$\Delta\theta$,10000,5,0.015318934783143515
corr,10000,5,0.005877077903037129
pMSE,10000,5,0.00012360298222176307
ks_test,10000,5,0.01086
pca_$\Delta\lambda$,10000,5,0.005897254553592966
pca_$\Delta\theta$,10000,5,0.011113617602515394
corr,10000,5,0.003503637601527989
pMSE,10000,5,0.00017216960468753435
ks_test,10000,5,0.0108
pca_$\Delta\lambda$,10000,5,0.002801736905343258
pca_$\Delta\theta$,10000,5,0.004267935840888716
corr,10000,5,0.0025341389375037743
pMSE,10000,5,0.0005321613395107928
ks_test,10000,5,0.01112
pca_$\Delta\lambda$,10000,5,0.001263566273766054
pca_$\Delta\theta$,10000,5,0.009121666721511237
corr,10000,5,0.0032812051307041087
pMSE,10000,5,0.000331931806699798
ks_test,10000,5,0.015479999999999999
pca_$\Delta\lambda$,10000,5,0.004213336931750905
pca_$\Delta\theta$,10000,5,0.012015429508894475
corr,10000,5,0.005042548102594202
pMSE,10000,5,0.00037849854340591576
ks_test,10000,5,0.01196
pca_$\Delta\lambda$,10000,5,0.007640494594682827
pca_$\Delta\theta$,10000,5,0.007324966401777772
corr,10000,5,0.00461058907631859
pMSE,10000,5,0.00017026388856344245
ks_test,10000,5,0.00924
pca_$\Delta\lambda$,10000,5,0.00610065678780038
pca_$\Delta\theta$,10000,5,0.007207179350115679
corr,10000,5,0.002673843048611006
pMSE,10000,5,0.0003125927366803008
ks_test,10000,5,0.01144
pca_$\Delta\lambda$,10000,5,0.004449917861333887
pca_$\Delta\theta$,10000,5,0.009515346733960185
corr,10000,5,0.0030018026331820723
pMSE,10000,5,0.0002806924344006152
ks_test,10000,5,0.01446
pca_$\Delta\lambda$,10000,5,0.005722352762564083
pca_$\Delta\theta$,10000,5,0.007597998999229595
corr,10000,5,0.0059425967549757075
pMSE,10000,5,0.0001114878488385307
ks_test,10000,5,0.00942
pca_$\Delta\lambda$,10000,5,0.010592986492682931
pca_$\Delta\theta$,10000,5,0.005132321292659848
corr,10000,5,0.006988588286649959
pMSE,10000,5,0.00022152818179610592
ks_test,10000,5,0.00972
pca_$\Delta\lambda$,10000,5,0.004425457616938843
pca_$\Delta\theta$,10000,5,0.029178542656970875
corr,10000,5,0.005738768029587526
pMSE,10000,5,0.0003138545857966778
ks_test,10000,5,0.0098
pca_$\Delta\lambda$,10000,5,0.00668336979162394
pca_$\Delta\theta$,10000,5,0.011661940563677413
corr,10000,5,0.004098599787574781
pMSE,10000,5,0.00023510503013441088
ks_test,10000,5,0.0129
pca_$\Delta\lambda$,10000,5,0.0016992394961154057
pca_$\Delta\theta$,10000,5,0.022301795643572472
corr,10000,5,0.011273084742942543
pMSE,10000,5,0.0001192662126574393
ks_test,10000,5,0.01056
pca_$\Delta\lambda$,10000,5,0.010659642910428072
pca_$\Delta\theta$,10000,5,0.023094477085514653
corr,10000,5,0.004023852637390434
pMSE,10000,5,0.00011061603575154825
ks_test,10000,5,0.00944
pca_$\Delta\lambda$,10000,5,0.008480548005360725
pca_$\Delta\theta$,10000,5,0.00522012602195443
corr,10000,5,0.0042105210574454556
pMSE,10000,5,0.0002208562582691209
ks_test,10000,5,0.011779999999999999
pca_$\Delta\lambda$,10000,5,0.005632083598504374
pca_$\Delta\theta$,10000,5,0.009319065556838374
corr,10000,5,0.005556102947568909
pMSE,10000,5,0.0004934298887970761
ks_test,10000,5,0.01216
pca_$\Delta\lambda$,10000,5,0.011263920044404838
pca_$\Delta\theta$,10000,5,0.021163833303667664
corr,10000,5,0.0033328121734473694
pMSE,10000,5,0.00023892902471000076
ks_test,10000,5,0.01028
pca_$\Delta\lambda$,10000,5,0.0011071031422000503
pca_$\Delta\theta$,10000,5,0.011028910027087812
corr,10000,5,0.005451890701419482
